Resturant Name
A Healing Café - MaRadha Colombo
Avartana
BOO Cafe
Baked Colombo
Barefoot Garden Cafe
Barista Staple Street
Black Cat Cafe + Stay
Blooming Breakfast Resto Bar & Cafe
Bowl'd - Colombo
Brew 1867 by Dilmah – Flower Road
Brown Sugar
CAFE COLOMBO
CHATZ
Cafe 1959 by Raux Brothers
Cafe 97
Cafe EN -縁-
Cafe Kai
Cafe Kinross
Cafe Kumbuk
Cafe Noir Blanc
Cafe Seventy Seven
Cafe 🍵 Japan
Café Français
Café La Defense
Café on the 5th
Caramel Pumpkin
Central Cafe
Chaiwala Colombo - One Galle Face Mall
Cloud Cafe & Bar
Coco Veranda
Coffee & Company
Coffee Break
Coffee Colombo
Coffee Stop
Cuisine Colombo - Gregory's Road
Dark Roast Cafe
De Vos Cafe
Department of Coffee
Dinemore - Colombo 2
Dolce Italia
E-Cafe
E-Cafe Colombo 03
Elevate by Jetwing
Food Studio - Colombo City Centre
Gardenia Coffeeshop
Golden Cafe
Goodies
Graze Kitchen
Green Cabin | Chatham Street
Grind
Harpo's Colombo Fort Cafe
Hebrews Cafe
Heladiv Tea Club
Helambula
Indian Ocean Pavilion
Indian Summer Restaurant
Inshaf's Cafe
Java Lounge - Bambalapitiya
Java Lounge - Barnes Place
Java Lounge - Jawatte
KIKU Colombo
Kaapi
Kaffi Colombo
King of the Mambo
Koffee Kulture
Kuuraku Japanese Restaurant
La Luna Colombo
Life’s Good Kitchen
London House Of Coffee
Long Feng - Cinnamon Lakeside
Malar Cafe
Milk & Honey Café
Minori Japanese Restaurant by Granbell Hotel Colombo
Mitsis Delicacies
Monkeybean Cafe
My friend cafe
Natural Eats (Pvt) Ltd
Nuga Gama
Oldfort Cafe
PLATES
Park Café
Peppermint Cafe
Pizza Factory
Playtrix Sports Bar and Cafe
Rosmead Weddings
Seed Cafe
Shang Palace
Spa Ceylon Café
SunsetBlu
TORENA CAFE & RESTAURANT
Table by Nyne
Tea Avenue
The Barnesbury
The Breeze Bar
The Brick Lane Coffeehouse
The Brown Bean
The Brown Bean Coffee
The Central Perk
The Coffee Bean & Tea Leaf
The Coffee Bean and Tea Leaf - Landmark
The Coffee Craft
The Commons Coffee House
The Dining Room
The Escape Café
The Fab - Colpetty
The Gallery Café
The Traveling Bruncher
The cafe
Tokyo Shokudo - Colombo City Centre
Twins Cafesl
VOC Cafe
Virticle by Jetwing
WAFL Café One Galle Face Mall
cafe monica sri lanka
t-lounge by Dilmah – Chatham Street ️
